iter	Passed	Remaining
0	18	14617
1	36	14385
2	52	13922
3	70	13985
4	87	13894
5	104	13882
6	123	14024
7	141	14056
8	165	14545
9	187	14805
10	211	15158
11	236	15524
12	264	15988
13	288	16198
14	315	16523
15	340	16672
16	362	16716
17	383	16668
18	405	16662
19	427	16660
20	447	16615
21	476	16844
22	497	16810
23	518	16767
24	538	16701
25	560	16686
26	583	16708
27	608	16773
28	632	16818
29	652	16744
30	672	16670
31	694	16661
32	713	16592
33	732	16503
34	749	16392
35	767	16280
36	784	16169
37	801	16070
38	820	16010
39	837	15912
40	854	15818
41	871	15725
42	888	15643
43	905	15564
44	922	15484
45	938	15388
46	955	15311
47	972	15241
48	989	15160
49	1007	15107
50	1023	15037
51	1039	14956
52	1056	14892
53	1074	14839
54	1090	14773
55	1106	14706
56	1125	14675
57	1142	14620
58	1161	14591
59	1183	14597
60	1204	14586
61	1226	14604
62	1254	14670
63	1285	14781
64	1318	14913
65	1343	14940
66	1369	14983
67	1399	15063
68	1422	15071
69	1448	15109
70	1470	15101
71	1491	15083
72	1517	15107
73	1540	15110
74	1565	15133
75	1584	15092
76	1606	15084
77	1626	15055
78	1645	15019
79	1665	14991
80	1685	14963
81	1703	14918
82	1727	14920
83	1746	14890
84	1765	14853
85	1784	14818
86	1806	14805
87	1825	14772
88	1845	14739
89	1864	14705
90	1882	14669
91	1901	14632
92	1919	14594
93	1935	14539
94	1952	14486
95	1969	14440
96	1990	14426
97	2010	14402
98	2028	14364
99	2046	14328
100	2067	14308
101	2086	14276
102	2105	14248
103	2123	14211
104	2142	14180
105	2159	14141
106	2178	14108
107	2195	14067
108	2212	14028
109	2229	13984
110	2246	13941
111	2263	13901
112	2281	13869
113	2299	13835
114	2317	13806
115	2336	13780
116	2356	13754
117	2376	13735
118	2394	13703
119	2415	13689
120	2435	13666
121	2453	13633
122	2472	13606
123	2493	13590
124	2519	13603
125	2540	13589
126	2563	13583
127	2586	13576
128	2607	13562
129	2629	13552
130	2651	13541
131	2671	13520
132	2692	13503
133	2715	13496
134	2736	13478
135	2755	13454
136	2779	13450
137	2801	13439
138	2822	13422
139	2844	13411
140	2867	13399
141	2887	13378
142	2907	13357
143	2927	13338
144	2950	13326
145	2969	13300
146	2988	13275
147	3009	13257
148	3027	13229
149	3047	13203
150	3066	13180
151	3085	13154
152	3103	13124
153	3123	13100
154	3145	13089
155	3165	13067
156	3188	13056
157	3213	13058
158	3236	13047
159	3265	13060
160	3295	13079
