iter	Logloss
0	0.6473758697
1	0.6138016858
2	0.5845775027
3	0.5558035801
4	0.5312056914
5	0.5060485206
6	0.4847245597
7	0.4664973133
8	0.4507727203
9	0.4341406648
10	0.4223505127
11	0.4100280429
12	0.3949096166
13	0.3819020792
14	0.3702114494
15	0.363369727
16	0.3534867286
17	0.3463688318
18	0.3362537794
19	0.329548674
20	0.3197220748
21	0.312278259
22	0.3065072551
23	0.2977447742
24	0.2931707924
25	0.2892155
26	0.2849293286
27	0.2813250728
28	0.2783087922
29	0.2719171198
30	0.2694922185
31	0.266515275
32	0.2640154326
33	0.2587605235
34	0.2520692996
35	0.2473958886
36	0.2449579631
37	0.2429802933
38	0.2412970311
39	0.2355892631
40	0.2341770867
41	0.2324570092
42	0.2307836666
43	0.2273084058
44	0.2232067095
45	0.220088171
46	0.2168596405
47	0.2151758573
48	0.2130117763
49	0.2116406133
50	0.2103313204
51	0.2075459316
52	0.2046004073
53	0.202499126
54	0.2014383939
55	0.1999119565
56	0.198577392
57	0.1963356609
58	0.195095936
59	0.1937633349
60	0.1921210468
61	0.1908693953
62	0.1896692584
63	0.1882654777
64	0.1872925902
65	0.1856435539
66	0.1844941245
67	0.1839540704
68	0.183137708
69	0.1817661452
70	0.1811431813
71	0.1804445775
72	0.1794647138
73	0.1780733158
74	0.1771869547
75	0.1764548537
76	0.1759995594
77	0.1750982291
78	0.1746400393
79	0.1731767034
80	0.1724189709
81	0.1719813399
82	0.1712519786
83	0.1700535851
84	0.1688745976
85	0.1683252984
86	0.1672395394
87	0.1661746736
88	0.1657912432
89	0.1651649618
90	0.1641876353
91	0.1631445583
92	0.1622145613
93	0.1613864859
94	0.1606145878
95	0.1601716528
96	0.1591195413
97	0.1588091745
98	0.1578359793
99	0.1574512183
100	0.1566083213
101	0.1559641949
102	0.1556490957
103	0.1545315893
104	0.1541014722
105	0.1527339495
106	0.1521529047
107	0.1519078479
108	0.1512686859
109	0.1504850611
110	0.1495888227
111	0.149238354
112	0.1489013752
113	0.1478620252
114	0.1470550449
115	0.1460446695
116	0.1450234026
117	0.1441807039
118	0.1432457657
119	0.1427495481
120	0.1419773729
121	0.1413534175
122	0.1407058214
